"file","station","start_time_utc","start_time_pt","start_longitude_dd","start_latitude_dd","depth_bin_mid_m","mean_fluor"
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,26.25,0.249210869565217
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,26.75,0.241065957446809
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,27.25,0.239486666666667
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,27.75,0.177305555555556
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,28.25,0.162708064516129
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,28.75,0.156427536231884
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,29.25,0.147889285714286
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,29.75,0.146984745762712
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,30.25,0.138090909090909
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,30.75,0.127969090909091
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,31.25,0.114562121212121
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,31.75,0.0845222222222222
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,32.25,0.0644934782608696
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,32.75,0.0636866666666667
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,33.25,0.0463857142857143
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,33.75,0.0559882352941176
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,34.25,0.0362406779661017
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,34.75,0.0189811320754717
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,35.25,0.0180705882352941
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,35.75,0.0177833333333333
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,36.25,0.0183627118644068
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,36.75,0.0211245614035088
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,37.25,0.0186553571428571
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,37.75,0.0182272727272727
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,38.25,0.00811632653061225
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,38.75,0.02205625
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,39.25,0.04036875
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,39.75,0.0412067796610169
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,40.25,0.0485927272727273
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,40.75,0.0259222222222222
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,41.25,0.0310127272727273
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,41.75,0.0336541666666667
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,42.25,0.0571489795918367
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,42.75,0.0548522727272727
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,43.25,0.0428369565217391
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,43.75,0.0463857142857143
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,44.25,0.0695786885245902
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,44.75,0.0580915254237288
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,45.25,0.0585242857142857
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,45.75,0.0500133333333333
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,46.25,0.0639224137931034
